lr,la,T*,P*,rhov*,rhol*,dHvap*,dUvap*
7.0,6.0,0.7503051044827586,8.238062968965518e-05,0.00011,0.915221,9.690469503448275,8.941644699822305
7.0,6.0,0.7701042672413794,0.0001006798748275,0.000131,0.909593,9.652754979310345,8.884317003235031
7.0,6.0,0.9005156934482759,0.0007668834989655,0.00086,0.873697,9.36814411724138,8.477296863817072
7.0,6.0,0.9200682151724138,0.0009236210768965,0.001015,0.867923,9.329977541379307,8.421070211031989
7.0,6.0,1.0501982793103448,0.0031238987172413,0.003057,0.830985,9.019326810344827,8.001202301851569
7.0,6.0,1.0703873586206898,0.0037698029344827,0.003635,0.825303,8.96524844137931,7.93273150811012
7.0,6.0,1.2000724758620689,0.0090710668275862,0.00802,0.787284,8.59728993448276,7.477756195652283
7.0,6.0,1.219895927586207,0.0102791357931034,0.008992,0.781129,8.531762931034482,7.401779937221499
7.0,6.0,1.350219979310345,0.0212541279310344,0.017583,0.740443,8.06675371724138,6.886669842807459
7.0,6.0,1.3804520068965516,0.0243015653448275,0.019873,0.730569,7.949135644827587,6.759556210424423
7.0,6.0,1.510187127586207,0.0430451631724137,0.034333,0.685656,7.333725193103447,6.142749936607982
7.0,6.0,1.5297364275862069,0.0464644293103448,0.036981,0.679169,7.230942606896551,6.042915669517022
7.0,6.0,1.660162579310345,0.0740881457931034,0.059272,0.627142,6.4310887034482755,5.299256143495394
7.0,6.0,1.679923668965517,0.0795227678620689,0.064069,0.619571,6.280520186206896,5.167666452238171
7.0,6.0,1.808517151724138,0.1184543503448275,0.101221,0.555862,5.122093855172414,4.164939446037228
7.0,6.0,1.8298722551724136,0.1253872734482758,0.108511,0.544977,4.914030844827586,3.988583023031432
8.0,6.0,0.7203362824137931,0.0002358459137931,0.000329,0.886853,8.614243475862068,7.897652530777577
8.0,6.0,0.7402609379310344,0.0002813038748275,0.000382,0.880686,8.57074584137931,7.834667677792853
8.0,6.0,0.8402296227586208,0.0010198564965517,0.00123,0.849428,8.335608879310344,7.507657895229504
8.0,6.0,0.86021761,0.0012009847517241,0.001417,0.843269,8.28699076551724,7.440860448951759
8.0,6.0,0.9694547872413796,0.0038647011275862,0.004132,0.808159,7.979368017241379,7.048840071919666
8.0,6.0,0.9803507293103448,0.0041780767862068,0.004426,0.804593,7.959284365517242,7.0204923345609656
8.0,6.0,1.0898817206896554,0.0095372162551724,0.009367,0.767793,7.608560624137931,6.602810315233209
8.0,6.0,1.1095642206896552,0.0112773548620689,0.010989,0.761423,7.524631848275861,6.513202422956752
8.0,6.0,1.2099038275862068,0.0204115513448275,0.019008,0.725067,7.134721924137931,6.0890331536250795
8.0,6.0,1.2299524000000002,0.022640814275862,0.020929,0.718073,7.046847144827586,5.996585607970777
8.0,6.0,1.3296864344827586,0.0379012646551724,0.034497,0.679169,6.529587989655172,5.486710422027355
8.0,6.0,1.3499614103448276,0.0412533806896551,0.037406,0.670426,6.423275596551724,5.38195404182433
8.0,6.0,1.4498871310344827,0.0633810258965517,0.058222,0.625355,5.755330379310345,4.7680728911486145
