lr,la,T*,P*,rhov*,rhol*
7.0,6.0,0.7499737266000001,1.5596302463999955e-06,0.00010986,0.9152207476666664
7.0,6.0,0.7699636621,9.120132338400004e-05,0.0001313057142857,0.9095928703333336
7.0,6.0,0.8999202064999999,0.0007467422789594,0.0008596867391161,0.8736967449999998
7.0,6.0,0.9199891285,0.0008582433750669,0.0010148730412147,0.8679225806451613
7.0,6.0,1.050032274,0.002938907745021,0.0030646869696969,0.8312140130000001
7.0,6.0,1.070006734,0.0036108252894293,0.0036349847058823,0.8253033735483871
7.0,6.0,1.1999308809999998,0.009062762431413,0.00801777185625,0.787413016875
7.0,6.0,1.220095538,0.0102570391614744,0.0089916014852941,0.7811287299999999
7.0,6.0,1.3499510259999998,0.0209534574980319,0.01758349328125,0.7404430672727271
7.0,6.0,1.380085212,0.023990138556488,0.01987311421875,0.7305691733333333
7.0,6.0,1.509856762,0.042876341144834,0.034332826125,0.6856563714705883
7.0,6.0,1.5300800208659364,0.0459776865980699,0.0369811533106961,0.6791685166666667
7.0,6.0,1.659986939,0.07377256647,0.0592148577777777,0.6271515974999999
7.0,6.0,1.6800173339999998,0.079480848991,0.064068623347826,0.6195710580769231
7.0,6.0,1.810079463,0.11825893059,0.1011974265,0.5558621425
7.0,6.0,1.830046922,0.12541194446,0.1085113363888889,0.5449767229166667
7.0,6.0,1.959992572,0.1773731092,0.1846816425,0.4412875733333333
8.0,6.0,0.7199717422412675,0.0001715010558849,0.0003312987218772,0.8868622884691066
8.0,6.0,0.7400047865999999,0.0001611897813449,0.000381952350497,0.8806857970967741
8.0,6.0,0.8399785734000002,0.0009230984474138,0.0012299201475205,0.8494281623333333
8.0,6.0,0.8599491152000001,0.0012859464629239,0.0014170586443823,0.8432686819999999
8.0,6.0,0.9699858243,0.003851962497769,0.0041324945511764,0.808159060625
8.0,6.0,0.9800496195,0.0041737186143155,0.0044261691058823,0.8045926171875
8.0,6.0,1.0899499059999995,0.0095235796617996,0.009367149730303,0.7677928363636363
8.0,6.0,1.109960694,0.011119601608254,0.0109891956212121,0.7614230393939394
8.0,6.0,1.210037967,0.0203601272804341,0.0190076385212121,0.7250671985294117
8.0,6.0,1.230096544,0.022395080391663,0.0209286843304347,0.7180734580000002
8.0,6.0,1.330040105,0.03761277137302,0.0344631789599999,0.6790658928125001
8.0,6.0,1.349978931,0.04117390818827,0.037405712,0.6704258116129033
8.0,6.0,1.449982538,0.063045520052,0.058137606,0.6252798879310345
8.0,6.0,1.470014095,0.0677386152099999,0.0614551534615384,0.616165174074074
8.0,6.0,1.5699310350000002,0.0971848355899999,0.0933772162727272,0.5606159996153847
8.0,6.0,1.590035854,0.10453329123,0.1046627544117647,0.5474406390909091
8.0,6.0,1.6999793299999997,0.1478786313,0.1659942992307692,0.4487985366666667
9.0,6.0,0.6999753345999999,0.000324557237196,0.0005159641528058,0.8702051556666668
9.0,6.0,0.7200281417000001,0.000386450432088,0.0006049151272176,0.8632545883333335
9.0,6.0,0.8099973607000001,0.0013745727317729,0.001870715,0.8325425309090908
9.0,6.0,0.8199898511590545,0.0016963522321138,0.0021752748478701,0.8292212977382278
9.0,6.0,0.9099805933,0.004497645165375,0.0050794880078787,0.7971984358823531
9.0,6.0,0.929996965,0.005171992734507,0.0060001373687878,0.7898185239393939
9.0,6.0,1.0100119479999998,0.009954862194042,0.0106910136666666,0.7598954848484849
9.0,6.0,1.03002487,0.011392979616718,0.0122066465625,0.7518251351515151
9.0,6.0,1.110019161,0.019605720282382,0.0201488767757575,0.7205325638235295
9.0,6.0,1.130033699,0.021816567869845,0.0223162712068965,0.7117670670588235
9.0,6.0,1.219948401,0.03617493272796,0.0362682056249999,0.6718641600000002
9.0,6.0,1.229939483,0.037997321434769,0.0384285364285714,0.666715730625
9.0,6.0,1.319989256,0.0578390814979999,0.0589093723461538,0.6217664227586208
9.0,6.0,1.339962963,0.06354627175,0.0649960130625,0.6105551159375
9.0,6.0,1.42016987,0.08817491537,0.0942786897619047,0.5605778031034483
9.0,6.0,1.440017335,0.09468731837,0.103751104,0.5455177880000001
9.0,6.0,1.529944643,0.13192478171,0.1710765574999999,0.4565324533333333
10.0,6.0,0.6900162696000001,0.0004635921874479,0.0008492100012588,0.8587864976666667
10.0,6.0,0.7099498410999999,0.0007046534420731,0.001182725570697,0.8515616120000001
10.0,6.0,0.7799892213999999,0.0019016136811589,0.002492368,0.8251152597058823
10.0,6.0,0.8000312552000001,0.002303126977744,0.0030795019699117,0.8177715471875
10.0,6.0,0.8700219742000002,0.0051351671521819,0.0062173274151428,0.7903225318181818
10.0,6.0,0.8899579306,0.005960215396518,0.0071488364333333,0.7819876187878787
10.0,6.0,0.9600413243,0.0107131697728944,0.0122712139062499,0.7529169724242425
10.0,6.0,0.9799442001,0.012632116552075,0.0142685846874999,0.7445700160606061
10.0,6.0,1.050036076,0.020490215723397,0.0226802735333333,0.7134100852941176
10.0,6.0,1.0700109380000002,0.0232816091572109,0.02520984065625,0.7040019908823529
10.0,6.0,1.140041717,0.03539951285288,0.03778999,0.6696932922580643
10.0,6.0,1.150070603,0.0373084457956347,0.0404141343749999,0.664635570967742
10.0,6.0,1.229891691,0.0562948356079999,0.0624241432777777,0.6175177440800002
10.0,6.0,1.2399953410000002,0.058481313445,0.06502647668,0.6132611392857142
10.0,6.0,1.319940396,0.08408711126,0.0993438669999999,0.5571917271428571
10.0,6.0,1.330000274,0.0878142473,0.1053346211538461,0.5504732825925925
10.0,6.0,1.409952016,0.12056954888,0.1742782363157894,0.4506826385714286
11.0,6.0,0.6800142926,0.000677962062503,0.0011846002322888,0.8523914878787879
11.0,6.0,0.700029451,0.00101236916649,0.0015909970588235,0.8444132041935485
11.0,6.0,0.7600184138999999,0.002354856959218,0.0032424791202857,0.8199382458333333
11.0,6.0,0.7800092920999999,0.0028561969456051,0.0041013647341176,0.811980678125
11.0,6.0,0.8399841467999999,0.0056139787958609,0.0071437642933333,0.786120483125
11.0,6.0,0.8599549634000001,0.006784807996634,0.0083764505969696,0.7773733499999999
11.0,6.0,0.9200620439,0.0115478660571279,0.0139944718333333,0.7503447406060606
11.0,6.0,0.9400338437,0.013515459904143,0.0161796590933333,0.7412775267647058
11.0,6.0,1.0000064585,0.0208218771682219,0.02443606440625,0.7123778526470589
11.0,6.0,1.009995632,0.0223344432768229,0.0258304398846153,0.7072094499999999
11.0,6.0,1.080005758,0.034660738278733,0.0397979012903225,0.669424830967742
11.0,6.0,1.090001302,0.036622251960357,0.0417461579999999,0.6635521950000001
11.0,6.0,1.1700228580000005,0.057315236545,0.0677262863181818,0.6136537507407408
11.0,6.0,1.240009059,0.07966065785,0.1018439384090908,0.5588112434482759
11.0,6.0,1.250032196,0.0830089975399999,0.1039263616666666,0.5504742217857143
11.0,6.0,1.320005921,0.11311469307,0.1686740923809523,0.463782915
